Rank,Article Title,Author Full Names,Source Title,Publication Year,Abstract,DOI Link,ENGINEERING.PRODUCT/UI.UX/SERVICE,Inclusion (Y/N/Q/R) for 2nd screening,Note,Unnamed: 10
100,Using Deep Learning to Support the User Interface Design of Mobile Applications with App Inventor,"Baule, Daniel de Souza; von Wangenheim, Christiane Gresse; von Wangenheim, Aldo; Hauck, Jean C. R.; Vargas Junior, Edson C.",PROCEEDINGS OF THE 20TH BRAZILIAN SYMPOSIUM ON HUMAN FACTORS IN COMPUTING SYSTEMS (IHC 2021),2021,"Transforming a user interface sketch into a wireframe using App Inventor has been a common need both in computing education and the development of applications by end users. As this part of mobile application development is challenging and time-consuming, we present an approach that automates this process through the prototyping of user interfaces. The Sketch2aia approach employs deep learning to detect the user interface components and their position in a hand-drawn sketch, creating an intermediate representation of the user interface and automatically generating the App Inventor code for the respective wireframe. The approach achieves an average classification accuracy of the components of the user interface of 87.72% and results of a preliminary evaluation with users indicate that it generates wireframes that resemble sketches in terms of visual similarity. The approach is available as a web tool and can be used to support the teaching of user interface design effectively and efficiently, as well as the development of mobile applications by end users.",http://dx.doi.org/10.1145/3472301.3484340,UI/UX,Y,DL to detect UI components in sketch and generate representation and code,
108,A User Review Analysis Tool Empowering Iterative Product Design,"Wu, Qi","HCI INTERNATIONAL 2024 POSTERS, PT VI, HCII 2024",2024,"Understanding user feedback and improving accordingly is an essential phase in iterative product design. User reviews provide sufficient and various user feedback about general experience, specific features, and bug reports. While the traditional manual analysis may yield some insights, it is often constrained by limited sample sizes and potential biases. This paper introduces a user review analysis tool equipped with a graphical user interface, based on multiple machine learning and natural language processing techniques. This tool is designed to aid developers in rapidly acquiring a qualitative understanding of user experiences regarding product features and topics, by illustrating user attitude evolution and summarizing diverse user opinions. The tool's performance is evaluated with datasets from three different applications, each containing 50000 reviews. It was able to identify major features and topics and illustrated the evolution of user attitudes. Its effectiveness in summarizing diverse user opinions was also highlighted. The user review analysis tool can enable developers to efficiently process and interpret large volumes of user feedback, thereby significantly enhancing the iterative design process with data-driven insights.",http://dx.doi.org/10.1007/978-3-031-61966-3_19,UI/UX,Y,"User review analysis, ML, NLP (NLTK, Gensim’s model.ldamodel module), app design so more UI/UX?",
415,Configuration-Based Smart Customization Service: A Multitask Learning Approach,"Wang, Yue; Li, Xiang; Tsung, Fugee",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,2020,"Smart customization service is an important element for smart manufacturing. The success of smart customization requires that designers, manufacturers, and customers with differences in context, semantics, and other cognitive aspects be engaged in a collaborative process. With product configurators reported to have positive impacts on product quality to meet customers' needs, this article attempts to explore an approach for smart customization service based on configurators. To better address the semantic gap between customers and designers/manufacturers, a new configuration mechanism is proposed that takes into consideration customer needs using natural language as the input and maps them to product specifications in the design stage. We collected a massive amount of review text from e-commerce websites and used ELMo, a contextualized word representation based on a deep bidirectional language model, to encode the text. A multitask learning-based neural network was adopted to build the mapping from layman customer needs to product specifications. Our experiments show that this approach can achieve a promising performance for the configuration task and, thereby, facilitate smart customization services. Note to Practitioners-Smart customization has been adopted by various industries to tailor companies' business streams and customize solutions for customers. It is a complicated service process involving cross-functional teams for identifying customer needs and establishing product design and manufacturing specifications. However, communication in the collaborative process may be challenging. Customers may express their needs using layman's terms. The expressed needs can even be ambiguous and imprecise. Miscommunication hinders the efficiency of smart customization services. This article uses natural language processing and machine learning techniques to map product review text, which is crawled from e-commerce websites to the corresponding product specifications. Given a new customer's needs in free-form text, the mapping can automatically identify the satisfactory product configurations. This has the potential to improve the efficiency of product customization and shield customers and companies from the back-and-forth communication procedure in the customization service.",http://dx.doi.org/10.1109/TASE.2020.2986774,SERVICE,Y,ELMo to analyse customer reviews and identify their needs,
552,Exploring the Potential of Chatbots in Extending Tourists' Sustainable Travel Practices,"Majid, Gilang Maulana; Tussyadiah, Iis; Kim, Yoo Ri",JOURNAL OF TRAVEL RESEARCH,2024,"Recent advancement in Generative Conversational Artificial Intelligence (AI) has opened the possibility of promoting chatbots for nudging. Tourists returning home from destinations that enforce sustainable transport regulations might be nudged to continue traveling sustainably. Through exploratory qualitative research, this study conceptualizes a chatbot to facilitate pro-environmental behavior spillover among domestic tourists in the Gili Islands, Indonesia. The Service Design approach and Grounded Theory were applied throughout the data collection process involving semi-structured in-depth interviews, focus group discussions and field observations. Insights obtained from stakeholders from multidisciplinary backgrounds were used to provide an overview of how the chatbot can be developed and the potential impact it could bring. A theoretical model predicting factors that play important roles in adopting the proposed chatbot and its respective nudges was developed. It informs policymakers and practitioners about the potential use of AI to help transform tourist experiences and shape lasting responsible behaviors.",http://dx.doi.org/10.1177/00472875241247316,SERVICE,Y,Service design of tourism with generative conversational AI,
655,Digital servitization of symbiotic service composition in product-service systems,"Chuang, Yen-Ching; Chen, Yee Ming",COMPUTERS IN INDUSTRY,2022,"Product service systems (PSSs) are accelerating the shift in value in the creation of cloud manufacturing (CMfg), from product design and production to providing solutions that integrate products and services. Cyber-physical systems (CPSs) are taking center stage in CMfg, thereby integrating cyberspace and dynamic manufacturing physical spaces. Selecting the best combination of services to fulfil customer requirements is the most important issue in the CMfg platform. To address this issue, symbiotic simulations have been proposed to bridge the gap between cyberspace and the physical space. Cyberspace works by establishing a symbiotic relationship between users in physical space and information resources (e.g., computational algorithms and data) in cyberspace. In this study, we propose symbiotic simulations to perform efficient service combinations in CMfg, adopting computational algorithms ranging from operations research (OR) to machine learning (ML). This can overcome the inherent heterogeneity and complexity of these services in terms of functionality, quality, and execution paths. Several test cases were conducted to validate the performance of the multiagent-based symbiotic simulation platform, and the results of the symbiotic simulations demonstrate the performance of the approach in terms of reduced combined resources and wait times.(c) 2022 Published by Elsevier B.V.",http://dx.doi.org/10.1016/j.compind.2022.103630,SERVICE,Y,"Product service design with OR, ML, agent systems",
721,Collaborative Decision-Making Assistant for Healthcare Professionals: A Human-Centered AI Prototype Powered by Azure Open AI,"Fukizi, Kenneth Yamikani","PROCEEDINGS OF THE ACM SIGCAS/SIGCHI CONFERENCE ON COMPUTING AND SUSTAINABLE SOCIETIES 2023,COMPASS 2023",2023,"This paper presents a demonstration of a collaborative decision-making assistant designed to support healthcare professionals in making informed and personalized treatment decisions for their patients. The prototype highlights the integration of advanced AI algorithms, explainable AI techniques, and the utilization of mainly Microsoft related technology stacks, including ASP.Net Core and Azure Open AI services. The significance of this prototype lies in its contribution to the field of human-computer interaction, design and critical perspectives, specifically within the sub-domain of Human-centered AI. The prototype demonstration highlights innovation in the design, usage, sociotechnical context, and application of the prototype, and emphasizes commitment to ethical AI practices and responsible AI development, with considerations for fairness, transparency, and mitigating bias in AI algorithms, promoting the ethical use of AI in healthcare.",http://dx.doi.org/10.1145/3588001.3609370,SERVICE,Y,HCI design for doctor and computer with XAI,
15,Impaction of Artificial Intelligence on Interaction Design,"Du, Jiamei",2021 2ND INTERNATIONAL CONFERENCE ON COMPUTER ENGINEERING AND INTELLIGENT CONTROL (ICCEIC 2021),2021,"In recent years, artificial intelligence (AI) technology has made rapid development. Speech recognition, face recognition, natural language processing, limb recognition and other technologies are becoming more and more mature. The development of human technology has constantly changed the interaction mode between people and computers. For example, the maturity of touch screen technology has brought the popularity of tablet computers. The theme of this study is to investigate the impact of artificial intelligence (AI) technology on interaction design and how to use the interaction mode of AI technology to improve user experience. The research method of this paper is through the investigation of literature and face recognition experiments. The research results show that AI technology has a great impact on interaction design, Chat robot and speech recognition have been applied in many interaction designs. The recognition of facial expressions and human body movements can recognize more detailed feature information (such as expression, mental state, skin state, etc.), open more interaction space and provide users with better user experience.",http://dx.doi.org/10.1109/ICCEIC54227.2021.00044,UI.UX,Y,Interaciton design with image recognition,
33,PIKAR: A Pixel-Level Image Kansei Analysis and Recognition System Based on Deep Learning for User-Centered Product Design,"Gong, Yun; Wang, Bingcheng; Rau, Pei-Luen Patrick","CROSS-CULTURAL DESIGN-USER EXPERIENCE OF PRODUCTS, SERVICES, AND INTELLIGENT ENVIRONMENTS, CCD 2020, PT I",2020,"Can machines learn to perceive products like humans? Kansei Engineering has been developed to connect product design and human perception. While conventional Kansei Engineering Systems exhibit a high dependency on manual extraction of design elements and thereby are restricted to validity issues, we present a Pixel-level Image Kansei Analysis and Recognition (PIKAR) system that applies deep learning to extract and analyze the formation of human perception towards product designs automatically. Method validation is performed based on the evaluation of cosmetic packaging's kawaii. Two neural nets trained on 1,414 images, labeled by eight participants based on their perception of kawaii (1-5 Likert Scale), have achieved a better prediction than test persons. The implemented neuron analysis methodology for Kansei analysis points towards consistency with previous experimental kawaii studies and gives insight to individual differences. This work addresses the possibility of applying deep learning to support product design and user experience researches.",http://dx.doi.org/10.1007/978-3-030-49788-0_5,UI.UX,Y,product design with image recognition (dnn),
87,Will artificial intelligence platforms replace designers in the future? analyzing the impact of artificial intelligence platforms on the engineering design industry through color perception,"Li, Yu",ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,2024,"This research investigates the impact of artificial intelligence platforms on the engineering design industry by analyzing the perceptions of color and views on artificial intelligence development among designers and nondesigners. The study utilized a two-stage approach: the first involved artificial intelligence-assisted design tasks and focus group discussions with 24 participants, capturing both visual and textual data. K-means color clustering and thematic analysis were applied to images and texts. The second stage involved surveying 222 individuals and conducting a chi-square test to analyze the frequency of different color dimensions used by the two groups. The results demonstrate that differences in color perception influenced design decision-making outcomes. There was widespread acknowledgment across all groups of the efficiency and inspirational potential of artificial intelligence platforms. However, variations in design education resulted in differing opinions on the replaceability of designers. Future trajectories for artificial intelligence platforms are likely to focus on specialization while addressing challenges such as echo chamber effects, copyright disputes, and the prevention of private information leakage.",http://dx.doi.org/10.1016/j.engappai.2024.109369,UI.UX,Y,Clustering and chi-test for industrial design,
89,Intelligent emotion recognition in product design using multimodal physiological signals and machine learning,"Zhang, Lekai; Hu, Fo; Liu, Xingyu; Wang, Yingfan; Zhang, Hailong; Liu, Zheng; Yu, Chunyang",JOURNAL OF ENGINEERING DESIGN,2024,"Identifying emotional responses in products is essential for product design and user research. Traditional methods, such as interviews and surveys, for gathering product experience data are time-consuming and resource-intensive, and often fail to capture users' genuine emotional intentions. This article introduces an intelligent method for accurately identifying user-product emotions using multimodal physiological signals and machine learning techniques. The study involves designing experiments with 63 representative product images, and collecting various physiological signals (eye movement, electrodermal activity, and pulse). Using the K-means algorithm, we establish efficacy-arousal assessment labels to create a product emotion dataset. Preprocessing methods, including time-frequency analysis and wavelet transformation, ensure high-quality signal analysis data. By extracting temporal, frequency, and time-frequency features from multimodal physiological signals, the Relief algorithm determines the optimal feature combination. Finally, the study evaluates the performance of five machine learning classifiers, with results indicating an 81.31% recognition accuracy for the proposed product emotion recognition framework. This framework proves effective for objectively analyzing user emotions in product experiences.",http://dx.doi.org/10.1080/09544828.2024.2362589,UI.UX,Y,Clustering with classificaiton models for product design,
102,"Designing Age-Inclusive Interfaces: Emerging Mobile, Conversational, and Generative AI to Support Interactions across the Life Span","Sarcar, Sayan; Munteanu, Cosmin; Sin, Jaisie; Wei, Christina; Sayago, Sergio; Zhao, Wei; Waycott, Jenny","PROCEEDINGS OF THE 6TH CONFERENCE ON ACM CONVERSATIONAL USER INTERFACES, CUI 2024",2024,"We are concurrently witnessing two significant shifts: voice and chat-based conversational user interfaces (CUIs) are becoming ubiquitous (especially more recently due to advances in generative AI and LLMs - large language models), and older people are becoming a very large demographic group (and increasingly adopting of mobile technology on which such interfaces are present). However, despite the recent increase in research activity, age-relevant and inter/crossgenerational aspects continue to be underrepresented in both research and commercial product design. Therefore, the overarching aim of this workshop is to increase the momentum for research within the space of hands-free, mobile, and conversational interfaces that centers on age-relevant and inter- and cross-generational interaction. For this, we plan to create an interdisciplinary space that brings together researchers, designers, practitioners, and users, to discuss and share challenges, principles, and strategies for designing such interfaces across the life span. We thus welcome contributions of empirical studies, theories, design, and evaluation of hands-free, mobile, and conversational interfaces designed with aging in mind (e.g. older adults or inter/cross-generational). We particularly encourage contributions focused on leveraging recent advances in generative AI or LLMs. Through this, we aim to grow the community of CUI researchers across disciplinary boundaries (human-computer interaction, voice and language technologies, geronto-technologies, information studies, etc.) that are engaged in the shared goal of ensuring that the aging dimension is appropriately incorporated in mobile / conversational interaction design research.",http://dx.doi.org/10.1145/3640794.3669998,UI.UX,Y,LLM for HCI/UX,
378,The artistic design of user interaction experience for mobile systems based on context-awareness and machine learning,"Liu, Lina",NEURAL COMPUTING & APPLICATIONS,2022,"This paper investigates the art design of user interaction experience in mobile systems through the methods of contextual perception and machine learning. The theoretical foundations for the design of intangible cultural heritage interactive display resources include digital display theory, intangible cultural heritage education theory, embodied cognition theory, and gamification design theory. Based on the modelling and analysis of the theoretical foundations, the design principles are derived, including the heritage education principle, the somatic interaction design principle, and the content design principle. In this paper, we use ontologies to construct user knowledge models, fuse multi-situational similarity metrics, screen out candidate neighbour sets through preliminary screening, then combine the user's activity to construct time-based weight tensor scores, use tensor decomposition to obtain recommendation evaluation values, and finally use the recommendation evaluation values to make artistic recommendations. The experimental results show that the algorithm can still obtain a good recommendation implementation in the case of extremely sparse data. The analysis of the fit between augmented reality and folk art appreciation class, as well as the reference to relevant application cases, make design and practice of augmented reality application in folk art appreciation class, try to solve the common problems in folk art appreciation class, analyse the feedback effect and make a summary and outlook.",http://dx.doi.org/10.1007/s00521-021-06160-x,UI.UX,Y,matrix decomposiiton for UX design,
419,ITIU: Intention Understanding via Interactive Table in Large Language Models,"Liao, Zenghua; Liao, Jinzhi; Zhao, Xiang","PROCEEDINGS OF THE 33RD ACM INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT, CIKM 2024",2024,"Large language models (LLMs) have shown impressive success in various applications. However, they encounter issues in accurately understanding user intentions, thereby impeding the successful accomplishment of tasks. The pioneering study tackles intention understanding through iteratively interacting with users to enhance response quality; however, it fails to identify the notorious challenges associated with the task, where efficiency and accuracy are paramount for ensuring optimal user experience. To address these challenges, we introduce a new interactive table based intention understanding (ITIU) framework, which refers to and implements non-linear thinking in psychology such that details of intention are parallelly generated. Specifically, in the table interacting design phase, ITIU first brainstorms a more concrete intention table relevant to user instructions and subsequently incorporates a rule-based supervision mechanism to enhance the accuracy of its content. In the specialized model training phase, we obtain the procedural records generated by ITIU to develop a specialized upstream interactive intention understanding model. The specialized model replaces internal steps within the original interaction design for further efficiency improvement. Comprehensive experimental results demonstrate that ITIU significantly outperforms existing intention understanding methods, particularly in terms of interaction efficiency and intention understanding accuracy. Furthermore, whether integrated into the open-source LLaMA or powerful LLMs like GPT-4 and Claude-3, ITIU shows significant performance improvements. All the data and codes are released(1).",http://dx.doi.org/10.1145/3627673.3679688,UI.UX,Y,LLM for HCI/UX,
425,CUI@CHI: Mapping Grand Challenges for the Conversational User Interface Community,"Candello, Heloisa; Munteanu, Cosmin; Clark, Leigh; Sin, Jaisie; Ines Torres, Maria; Porcheron, Martin; Myers, Chelsea M.; Cowan, Benjamin; Fischer, Joel; Schloegl, Stephan; Murad, Christine; Reeves, Stuart",CHI'20: EXTENDED ABSTRACTS OF THE 2020 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,2020,"The aim of this workshop is twofold. First, it aims to grow critical mass in Conversational User Interfaces (CUI) research by mapping the grand challenges in designing and researching these interactions. Second, this workshop is intended to further build the CUI community with these challenges in mind, whilst also growing CUI research presence at CHI. In particular, the workshop will survey and map topics such as: interaction design for text and voice-based CUI; the interplay between engineering efforts such as in Natural language Processing (NLP) and the design of CUI; practical CUI applications (e.g. human-robot interaction, public spaces, hands-free and wearables); and social, contextual, and cultural aspects of CUI design (e.g. ethics, privacy, trust, information exploration, persuasion, well-being, or decision-making, marginalized users). By drawing from the diverse interdisciplinary expertise that defines CHI, we are proposing this workshop as a platform on which to build a community that is better equipped to tackle an emerging field that is rapidly-evolving, yet is under-studied - especially as the commercial advances seem to outpace the scholarly research in this space.",http://dx.doi.org/10.1145/3334480.3375152,UI.UX,Y,NLP for HCI/UX,
452,Generating educational mobile applications using UIDPs identified by artificial intelligence techniques,"Nely Sanchez-Morales, Laura; Alor-Hernandez, Giner; Yarel Rosales-Morales, Viviana; Augusto Cortes-Camarillo, Cesar; Luis Sanchez-Cervantes, Jose",COMPUTER STANDARDS & INTERFACES,2020,"Commercial mobile devices vary in brand, size, and functionalities, but they all allow people to interact with educational applications. In software engineering, application development techniques, approaches, methodologies, and processes (e.g., BBD, FDD, RAD, DDD) are often time consuming, costly, or aim at expert developers - which implies that users outside the software development field (e.g., teachers) need great practice to become experienced application developers. This work proposes an artificial-intelligence-based process for generating educational mobile apps from freehand-generated images. The images' design is based on User Interface Design Pattern (UIDP) representations. As a proof of concept, we introduce EduMatic, an application development tool. To test our process, we assessed Wiki-Comp, an application built with EduMatic, along with three other external educational applications: Khan Academy, Wiki encyclopedia, and Kiwix. According to the evaluation results, Wiki-Comp outstands in functionality, usability, and performance aspects.",http://dx.doi.org/10.1016/j.csi.2019.103407,UI.UX,Y,image recognition for UI/UX,
